n_layer1;n_layer2;n_layer3;dropout_1;dropout_2;k_size1;k_size2;act;optim;n_batch;lr;stride_1;stride_2;stride_3;best_val_loss
8;8;32;0.22195220672653282;0.019912544881439953;3;3;elu;sgd;4;0.001;1;2;1;0.9526044130325317
16;8;16;0.24852797410462285;0.03382854967252419;5;5;leakyrelu;rmsprop;16;0.001;2;1;1;0.6158434152603149
32;8;32;0.2350000730252197;0.31809050847416626;5;5;leakyrelu;rmsprop;2;0.01;1;1;2;0.9662757515907288
32;16;8;0.12817194616265737;0.06032430385085813;5;3;leakyrelu;adam;32;0.001;2;2;2;0.6028932929039001
16;32;32;0.39665746619641373;0.26868590635700423;3;3;leakyrelu;sgd;8;0.01;2;1;2;0.9362328052520752
4;32;16;0.44354726959106267;0.10261962796174634;5;3;elu;sgd;4;0.01;1;2;1;0.9081794619560242
32;16;16;0.2118083141889759;0.09229293007033018;3;5;leakyrelu;rmsprop;2;0.0001;1;2;2;0.6286398768424988
4;16;16;0.18646665308840454;0.49699357856825604;5;5;leakyrelu;adam;4;0.001;2;2;1;0.5534031987190247
8;32;16;0.445440638688129;0.3237079338781867;5;5;relu;sgd;4;1e-05;2;2;1;0.9962055087089539
4;16;4;0.22006120021535452;0.44443581989148895;5;3;leakyrelu;adam;8;0.01;2;1;2;0.5252735018730164
8;4;16;0.06367685503090598;0.3440719950944908;5;3;leakyrelu;sgd;16;0.001;2;2;2;0.9999333024024963
32;32;32;0.032963408821647056;0.28941514631898013;3;5;elu;sgd;4;0.001;1;1;2;0.9525814056396484
16;32;32;0.1427536323932737;0.2685614728598054;3;5;leakyrelu;sgd;32;0.0001;2;2;2;1.0035710334777832
16;16;32;0.41164894603425467;0.3792949467646811;3;5;elu;adam;16;1e-05;1;2;1;0.713340163230896
8;8;8;0.29877588120870413;0.33467489854111915;5;5;leakyrelu;adam;8;0.001;1;2;2;0.6254503726959229
4;8;4;0.10356823433118828;0.03378807352143115;5;3;elu;adam;16;0.01;1;2;2;0.704862654209137
32;4;4;0.3628698647122982;0.4537543305117423;3;3;elu;adam;4;0.01;2;2;2;0.5852714776992798
8;16;8;0.0648727283430775;0.22414604610911326;3;3;relu;rmsprop;2;0.01;2;1;2;0.7125298976898193
8;16;8;0.2992780873085431;0.26491331862378836;3;3;elu;sgd;16;0.01;1;2;1;0.9329569339752197
8;16;8;0.06289524542935654;0.4791833160038563;3;3;elu;rmsprop;4;1e-05;1;1;2;0.983677864074707
4;16;4;0.15790389057206133;0.42048134295943385;5;5;relu;adam;8;0.0001;2;1;1;0.6694797873497009
4;16;4;0.17626028943442412;0.4966950166994325;5;5;leakyrelu;adam;8;0.001;2;1;1;0.5990676283836365
4;16;4;0.30186119613606843;0.2039060427738402;5;5;leakyrelu;adam;8;0.01;2;1;1;0.709298312664032
4;4;16;0.32570393563772215;0.40977879012918794;5;3;leakyrelu;adam;8;0.0001;2;1;1;0.6801350116729736
4;16;4;0.49966018575896143;0.16885477527133416;5;5;relu;adam;32;0.001;2;1;1;0.9859157204627991
4;16;4;0.17776612883137946;0.46161815146273005;5;3;leakyrelu;adam;4;1e-05;2;1;1;1.000746250152588
4;4;16;0.010900619349634016;0.42212486291502055;5;5;leakyrelu;adam;8;0.01;2;2;2;0.6763302683830261
4;16;16;0.26674199082007904;0.3731249220626356;5;3;leakyrelu;adam;8;0.001;2;1;1;0.5719823837280273
4;16;4;0.20765323452791098;0.4412972043826656;5;3;relu;adam;4;0.001;2;2;1;0.5554563999176025
4;16;16;0.0973820592721517;0.4911823690462669;5;5;leakyrelu;adam;2;1e-05;2;1;2;0.9978938698768616
4;8;4;0.26645530769520653;0.3834123955645379;5;3;leakyrelu;adam;32;0.001;2;2;1;0.5185568332672119
16;8;4;0.25664966324492644;0.37881847481986763;5;3;leakyrelu;rmsprop;32;0.01;2;1;1;0.8081310391426086
4;8;4;0.34628378496019147;0.30151035959134403;5;3;leakyrelu;adam;32;0.0001;2;2;2;1.0094074010849
4;8;4;0.24190102315027548;0.3596889738897244;5;3;leakyrelu;rmsprop;32;0.001;2;1;2;0.988845944404602
32;8;4;0.271743183728351;0.4006544518419146;5;3;leakyrelu;adam;32;0.01;2;1;1;0.5928866863250732
16;8;4;0.22298120457741452;0.15810365011088612;5;3;relu;adam;32;0.01;2;2;2;0.542961597442627
4;8;4;0.3723544461581539;0.43990675697318227;5;3;leakyrelu;rmsprop;2;0.001;2;2;1;0.7173171639442444
32;8;32;0.4762093701805681;0.2233436554592471;5;3;leakyrelu;adam;32;0.01;2;1;2;0.5054141879081726
32;8;32;0.49312895979185895;0.003712209237085068;5;3;leakyrelu;adam;32;0.001;2;2;1;0.5679982900619507
32;8;32;0.46469215541153164;0.12443049002916579;5;3;leakyrelu;sgd;32;0.0001;1;1;2;1.0028120279312134
32;8;32;0.39203098523484625;0.2306043872760619;5;3;relu;rmsprop;32;1e-05;2;2;1;0.998116135597229
32;8;32;0.42032646054499045;0.19047109035306856;5;3;leakyrelu;adam;32;0.001;2;2;2;0.6115617752075195
32;32;32;0.47379107038747004;0.3036141497389771;3;3;leakyrelu;sgd;32;0.01;2;1;2;0.9671769738197327
32;8;32;0.43424141586120457;0.12151218978478577;5;3;elu;adam;32;0.001;1;2;1;0.6389203071594238
16;32;32;0.3256307568200266;0.24552945003681462;5;3;leakyrelu;sgd;16;0.01;2;1;2;0.9985129237174988
32;4;8;0.1272362429561435;0.07292105476232905;3;3;leakyrelu;adam;2;0.0001;1;2;1;0.6843968033790588
32;8;32;0.3888537000741309;0.2851955472867319;5;3;elu;adam;32;1e-05;2;2;2;0.946123480796814
8;8;32;0.4606968866483188;0.3494943416612779;3;3;relu;rmsprop;32;0.001;2;1;2;0.7273041009902954
16;32;8;0.3434301717233577;0.3183903661509905;5;3;leakyrelu;sgd;16;0.01;1;2;1;0.9952293634414673
32;8;32;0.007397140573102867;0.15679797506484855;5;3;elu;adam;2;0.01;2;1;2;1.3825796842575073
8;4;8;0.4147425452511104;0.20677435977111633;3;3;leakyrelu;adam;32;0.001;2;2;1;0.665195643901825
16;8;32;0.20520832488125756;0.27521672270421693;5;3;relu;rmsprop;16;0.0001;1;1;2;0.618034303188324
32;32;16;0.28253462438372995;0.2369699346950361;3;5;leakyrelu;sgd;32;1e-05;2;2;1;0.9989312291145325
8;8;8;0.4833733518125977;0.2598069653255688;5;3;elu;adam;4;0.01;2;1;2;0.6377353668212891
32;4;32;0.09251551653387147;0.33321367509398414;5;3;leakyrelu;adam;32;0.001;1;2;1;0.5515469312667847
16;8;4;0.1534687802806186;0.39411617071776733;5;5;leakyrelu;adam;2;0.01;2;1;2;0.7383903861045837
4;8;16;0.02932908339606302;0.058741536009457834;3;3;relu;adam;16;0.001;2;2;1;0.6330496668815613
8;32;4;0.372017369891927;0.21437587355518165;5;3;elu;sgd;32;0.0001;2;1;2;1.009115219116211
